mileage,ano,seats,engine_capacity,kms_driven,max_power,resale_price_Lakh
23.84,2019.0,5.0,1199.0,30910.0,83.8,5.66
17.5,2018.0,5.0,1199.0,48089.0,88.7,6.64
17.4,2015.0,5.0,1497.0,51000.0,117.3,5.65
14.08,2021.0,7.0,1956.0,30000.0,167.6,23.0
21.4,2019.0,5.0,1197.0,61113.0,83.1,6.87
17.66,2021.0,4.0,2993.0,31738.0,261.4,115.0
17.52,2021.0,5.0,1197.0,30000.0,81.8,7.85
16.09,2015.0,5.0,1598.0,80000.0,103.5,5.95
22.48,2018.0,5.0,1995.0,36000.0,187.7,38.75
18.24,2021.0,5.0,999.0,14608.0,98.6,9.6
21.74,2019.0,5.0,999.0,25000.0,67.0,3.49
23.01,2018.0,5.0,999.0,30000.0,67.0,3.1
21.5,2019.0,5.0,1497.0,46034.0,108.5,10.22
22.38,2013.0,5.0,1197.0,50824.0,88.5,4.55
18.0,2017.0,5.0,1497.0,120848.0,117.6,7.18
22.41,2015.0,5.0,1197.0,36888.0,88.5,3.78
27.39,2018.0,5.0,1248.0,83083.0,74.0,6.75
16.55,2018.0,6.0,2498.0,59889.0,105.0,9.85
19.0,2018.0,5.0,1194.0,45600.0,94.6,5.5
23.59,2012.0,5.0,1364.0,74000.0,103.88974615994809,4.25
15.1,2019.0,7.0,2179.0,80000.0,152.8,15.0
18.6,2017.0,5.0,1197.0,26997.0,81.8,6.68
20.36,2022.0,5.0,1451.0,10000.0,141.0,21.0
16.38,2011.0,5.0,1197.0,63386.0,78.9,2.46
18.2,2017.0,5.0,1999.0,56000.0,177.0,43.0
22.77,2017.0,5.0,1199.0,47000.0,88.7,7.75
17.0,2017.0,5.0,1498.0,70681.0,98.5,7.33
17.6,2020.0,5.0,1591.0,30000.0,121.3,8.5
18.15,2019.0,5.0,1582.0,56000.0,126.2,15.75
17.4,2022.0,7.0,1462.0,30000.0,91.1,11.5
18.6,2018.0,6.0,1198.0,60000.0,82.0,3.95
19.34,2019.0,5.0,1197.0,23717.0,81.8,7.34
21.4,2019.0,5.0,1197.0,28438.0,81.8,7.59
11.3,2018.0,7.0,1462.0,68796.0,103.0,9.0
