full_name,city,engine_capacity,insurance,transmission_type,categoria_marca,kms_driven,ano,marca,modelo,mileage,seats,engine_capacity,body_type,fuel_type,kms_driven,max_power,owner_type,resale_price_Lakh
2019 Tata Tiago XZ Plus,Pune,1199.0,Third Party,Manual,baixa,30910.0,2019.0,Tata,Tiago XZ Plus,23.84,5.0,1199.0,Hatchback,Petrol,30910.0,83.8,First Owner,5.66
2018 Honda WR-V i-VTEC VX,Jaipur,1199.0,Zero Dep,Manual,baixa,48089.0,2018.0,Honda,WR-V i-VTEC VX,17.5,5.0,1199.0,SUV,Petrol,48089.0,88.7,Third Owner,6.64
2015 Honda City i VTEC SV,Mumbai,1497.0,Third Party,Manual,baixa,51000.0,2015.0,Honda,City i VTEC SV,17.4,5.0,1497.0,Sedan,Petrol,51000.0,117.3,Second Owner,5.65
2021 Tata New Safari XZA Plus Adventure Edition AT BSVI,Mumbai,1956.0,Third Party,Automatic,baixa,30000.0,2021.0,Tata,New Safari XZA Plus Adventure Edition AT BSVI,14.08,7.0,1956.0,SUV,Diesel,30000.0,167.6,First Owner,23.0
2019 Maruti Baleno 1.2 CVT Zeta,Kolkata,1197.0,Zero Dep,Automatic,baixa,61113.0,2019.0,Maruti,Baleno 1.2 CVT Zeta,21.4,5.0,1197.0,Hatchback,Petrol,61113.0,83.1,First Owner,6.87
2021 BMW 7 Series 730Ld DPE Signature,Pune,2993.0,Third Party,Automatic,alta,31738.0,2021.0,BMW,7 Series 730Ld DPE Signature,17.66,4.0,2993.0,Sedan,Diesel,31738.0,261.4,First Owner,115.0
2021 Hyundai Venue S BSIV,Delhi,1197.0,Third Party,Manual,baixa,30000.0,2021.0,Hyundai,Venue S BSIV,17.52,5.0,1197.0,SUV,Petrol,30000.0,81.8,Second Owner,7.85
2015 Volkswagen Vento 1.6 Highline Plus 16 Alloy,Bangalore,1598.0,Third Party,Manual,baixa,80000.0,2015.0,Volkswagen,Vento 1.6 Highline Plus 16 Alloy,16.09,5.0,1598.0,Sedan,Petrol,80000.0,103.5,Third Owner,5.95
2018 BMW 5 Series 520d Sport Line,Delhi,1995.0,Third Party,Automatic,alta,36000.0,2018.0,BMW,5 Series 520d Sport Line,22.48,5.0,1995.0,Sedan,Diesel,36000.0,187.7,First Owner,38.75
2021 Renault Kiger RXZ Turbo CVT DT,Bangalore,999.0,Third Party,Automatic,baixa,14608.0,2021.0,Renault,Kiger RXZ Turbo CVT DT,18.24,5.0,999.0,SUV,Petrol,14608.0,98.6,First Owner,9.6
2019 Renault KWID 1.0 RXT Opt,Delhi,999.0,Comprehensive,Manual,baixa,25000.0,2019.0,Renault,KWID 1.0 RXT Opt,21.74,5.0,999.0,Hatchback,Petrol,25000.0,67.0,First Owner,3.49
2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,Pune,2143.0,Comprehensive,Automatic,alta,63000.0,2017.0,Mercedes-Benz,2017  C-Class C 220 CDI Avantgarde,19.27,5.0,2143.0,Sedan,Diesel,63000.0,170.0,First Owner,26.5
2018 Renault KWID 1.0 RXT,Kolkata,999.0,Third Party,Manual,baixa,30000.0,2018.0,Renault,KWID 1.0 RXT,23.01,5.0,999.0,Hatchback,Petrol,30000.0,67.0,Second Owner,3.1
2019 Tata Nexon 1.5 Revotorq XZA Plus DualTone,Hyderabad,1497.0,Zero Dep,Automatic,baixa,46034.0,2019.0,Tata,Nexon 1.5 Revotorq XZA Plus DualTone,21.5,5.0,1497.0,SUV,Diesel,46034.0,108.5,First Owner,10.22
2013 Maruti Swift VXI,Hyderabad,1197.0,Third Party,Manual,baixa,50824.0,2013.0,Maruti,Swift VXI,22.38,5.0,1197.0,Hatchback,Petrol,50824.0,88.5,First Owner,4.55
2017 Honda City i-VTEC CVT V,Bangalore,1497.0,Zero Dep,Automatic,baixa,120848.0,2017.0,Honda,City i-VTEC CVT V,18.0,5.0,1497.0,Sedan,Petrol,120848.0,117.6,First Owner,7.18
2015 Maruti Swift Dzire VXI,Delhi,1197.0,Third Party,Manual,baixa,36888.0,2015.0,Maruti,Swift Dzire VXI,22.41,5.0,1197.0,Sedan,Petrol,36888.0,88.5,Second Owner,3.78
2016 Mercedes-Benz GLS 350d 4MATIC,Delhi,2987.0,Comprehensive,Automatic,alta,66000.0,2016.0,Mercedes-Benz,2016  GLS 350d 4MATIC,11.0,7.0,2987.0,SUV,Diesel,66000.0,258.0,Second Owner,49.5
2018 Maruti Baleno Delta Diesel,Jaipur,1248.0,Comprehensive,Manual,baixa,83083.0,2018.0,Maruti,Baleno Delta Diesel,27.39,5.0,1248.0,Hatchback,Diesel,83083.0,74.0,First Owner,6.75
2018 Mahindra Thar CRDe,Bangalore,2498.0,Third Party,Manual,baixa,59889.0,2018.0,Mahindra,Thar CRDe,16.55,6.0,2498.0,SUV,Diesel,59889.0,105.0,First Owner,9.85
2018 Ford Freestyle Titanium Petrol BSIV,Hyderabad,1194.0,Zero Dep,Manual,baixa,45600.0,2018.0,Ford,Freestyle Titanium Petrol BSIV,19.0,5.0,1194.0,Hatchback,Petrol,45600.0,94.6,First Owner,5.5
2012 Toyota Etios Liva GD,Chennai,1364.0,Comprehensive,Manual,baixa,74000.0,2012.0,Toyota,Etios Liva GD,23.59,5.0,1364.0,Hatchback,Diesel,74000.0,103.88974615994809,First Owner,4.25
2019 Mahindra XUV500 W7 AT BSIV,Hyderabad,2179.0,Third Party,Automatic,baixa,80000.0,2019.0,Mahindra,XUV500 W7 AT BSIV,15.1,7.0,2179.0,SUV,Diesel,80000.0,152.8,First Owner,15.0
2017 Hyundai i20 Asta 1.2,Hyderabad,1197.0,Comprehensive,Manual,baixa,26997.0,2017.0,Hyundai,i20 Asta 1.2,18.6,5.0,1197.0,Hatchback,Petrol,26997.0,81.8,First Owner,6.68
2022 MG Hector Sharp CVT,Delhi,1451.0,Third Party,Automatic,baixa,10000.0,2022.0,MG,Hector Sharp CVT,20.36,5.0,1451.0,SUV,Petrol,10000.0,141.0,Second Owner,21.0
2011 Hyundai i10 Sportz,Pune,1197.0,Third Party,Manual,baixa,63386.0,2011.0,Hyundai,i10 Sportz,16.38,5.0,1197.0,Hatchback,Petrol,63386.0,78.9,First Owner,2.46
2017 Jaguar F-Pace Prestige 2.0 AWD,Bangalore,1999.0,Comprehensive,Automatic,alta,56000.0,2017.0,Jaguar,F-Pace Prestige 2.0 AWD,18.2,5.0,1999.0,SUV,Diesel,56000.0,177.0,First Owner,43.0
2017 Honda Jazz V CVT,Bangalore,1199.0,Comprehensive,Automatic,baixa,47000.0,2017.0,Honda,Jazz V CVT,22.77,5.0,1199.0,Hatchback,Petrol,47000.0,88.7,First Owner,7.75
2017 Ford Ecosport 1.5 TDCi Platinum Edition BSIV,Bangalore,1498.0,Comprehensive,Manual,baixa,70681.0,2017.0,Ford,Ecosport 1.5 TDCi Platinum Edition BSIV,17.0,5.0,1498.0,SUV,Diesel,70681.0,98.5,First Owner,7.33
2020 Hyundai Verna VTVT 1.6 SX,Gurgaon,1591.0,Third Party,Manual,baixa,30000.0,2020.0,Hyundai,Verna VTVT 1.6 SX,17.6,5.0,1591.0,Sedan,Petrol,30000.0,121.3,First Owner,8.5
2019 Hyundai Creta 1.6 SX Automatic Diesel,Bangalore,1582.0,Comprehensive,Automatic,baixa,56000.0,2019.0,Hyundai,Creta 1.6 SX Automatic Diesel,18.15,5.0,1582.0,SUV,Diesel,56000.0,126.2,First Owner,15.75
2022 Maruti Ertiga Tour STD CNG 2019-2022,Delhi,1462.0,Third Party,Manual,baixa,30000.0,2022.0,Maruti,Ertiga Tour STD CNG 2019-2022,17.4,7.0,1462.0,MUV,CNG,30000.0,91.1,First Owner,11.5
2018 Mahindra KUV 100 NXT G80 K6 Plus,Delhi,1198.0,Third Party,Manual,baixa,60000.0,2018.0,Mahindra,KUV 100 NXT G80 K6 Plus,18.6,6.0,1198.0,Hatchback,Petrol,60000.0,82.0,Second Owner,3.95
2019 Hyundai i20 Sportz Plus CVT BSIV,Chandigarh,1197.0,Third Party,Automatic,baixa,23717.0,2019.0,Hyundai,i20 Sportz Plus CVT BSIV,19.34,5.0,1197.0,Hatchback,Petrol,23717.0,81.8,Second Owner,7.34
