full_name,city,engine_capacity,insurance,transmission_type,categoria_marca,kms_driven,ano,marca,modelo,mileage,seats,engine_capacity.1,body_type,fuel_type,kms_driven.1,max_power,owner_type,resale_price_Lakh,prediction,precisaoNew,prejuizoNew,variacaoPrecisao,precisaoOld,prejuizoOld,satisfacaoOld,satisfacaoNew
2019 Tata Tiago XZ Plus,Pune,1199.0,Third Party,Manual,baixa,30910.0,2019.0,Tata,Tiago XZ Plus,23.84,5.0,1199.0,Hatchback,Petrol,30910.0,83.8,First Owner,5.66,5.570700000000006,0,0,1.577738515900961,0,0.0,66.76062797901164,66.76062797901164
2018 Honda WR-V i-VTEC VX,Jaipur,1199.0,Zero Dep,Manual,baixa,48089.0,2018.0,Honda,WR-V i-VTEC VX,17.5,5.0,1199.0,SUV,Petrol,48089.0,88.7,Third Owner,6.64,6.921799999999994,0,0,4.243975903614372,0,0.0,76.49557552548694,76.49557552548694
2015 Honda City i VTEC SV,Mumbai,1497.0,Third Party,Manual,baixa,51000.0,2015.0,Honda,City i VTEC SV,17.4,5.0,1497.0,Sedan,Petrol,51000.0,117.3,Second Owner,5.65,5.861099999999992,0,0,3.736283185840567,0,0.0,74.64189137866981,74.64189137866981
2021 Tata New Safari XZA Plus Adventure Edition AT BSVI,Mumbai,1956.0,Third Party,Automatic,baixa,30000.0,2021.0,Tata,New Safari XZA Plus Adventure Edition AT BSVI,14.08,7.0,1956.0,SUV,Diesel,30000.0,167.6,First Owner,23.0,24.0058,0,0,4.373043478260873,0,0.0,76.96682616315503,76.96682616315503
2019 Maruti Baleno 1.2 CVT Zeta,Kolkata,1197.0,Zero Dep,Automatic,baixa,61113.0,2019.0,Maruti,Baleno 1.2 CVT Zeta,21.4,5.0,1197.0,Hatchback,Petrol,61113.0,83.1,First Owner,6.87,6.9272000000000045,0,0,0.8326055312955511,0,0.0,64.04000356885618,64.04000356885618
2021 BMW 7 Series 730Ld DPE Signature,Pune,2993.0,Third Party,Automatic,alta,31738.0,2021.0,BMW,7 Series 730Ld DPE Signature,17.66,4.0,2993.0,Sedan,Diesel,31738.0,261.4,First Owner,115.0,101.0505,0,0,12.13,1,1.1380448389666553,50.0,100.0
2021 Hyundai Venue S BSIV,Delhi,1197.0,Third Party,Manual,baixa,30000.0,2021.0,Hyundai,Venue S BSIV,17.52,5.0,1197.0,SUV,Petrol,30000.0,81.8,Second Owner,7.85,7.92080000000001,0,0,0.9019108280256047,0,0.0,64.2930505899013,64.2930505899013
2015 Volkswagen Vento 1.6 Highline Plus 16 Alloy,Bangalore,1598.0,Third Party,Manual,baixa,80000.0,2015.0,Volkswagen,Vento 1.6 Highline Plus 16 Alloy,16.09,5.0,1598.0,Sedan,Petrol,80000.0,103.5,Third Owner,5.95,5.616499999999998,0,0,5.605042016806766,0,0.0,81.46509072329766,81.46509072329766
2018 BMW 5 Series 520d Sport Line,Delhi,1995.0,Third Party,Automatic,alta,36000.0,2018.0,BMW,5 Series 520d Sport Line,22.48,5.0,1995.0,Sedan,Diesel,36000.0,187.7,First Owner,38.75,38.58919999999999,0,0,0.4149677419355069,0,0.0,62.51512735506462,62.51512735506462
2021 Renault Kiger RXZ Turbo CVT DT,Bangalore,999.0,Third Party,Automatic,baixa,14608.0,2021.0,Renault,Kiger RXZ Turbo CVT DT,18.24,5.0,999.0,SUV,Petrol,14608.0,98.6,First Owner,9.6,9.247900000000012,0,0,3.667708333333205,0,0.0,74.39151135052875,74.39151135052875
2019 Renault KWID 1.0 RXT Opt,Delhi,999.0,Comprehensive,Manual,baixa,25000.0,2019.0,Renault,KWID 1.0 RXT Opt,21.74,5.0,999.0,Hatchback,Petrol,25000.0,67.0,First Owner,3.49,3.837800000000004,0,0,9.965616045845383,1,0.9093751628537173,50.0,100.0
