mileage,ano,seats,engine_capacity,kms_driven,max_power,ID
18.9,2017.0,5.0,1197.0,53658.0,81.8,0
21.21,2020.0,5.0,1197.0,33055.0,81.8,1
18.2,2010.0,5.0,998.0,90385.0,67.1,2
19.7,2010.0,5.0,796.0,110000.0,46.3,3
17.19,2018.0,5.0,1197.0,58000.0,81.8,4
14.24,2018.0,7.0,2755.0,174000.0,174.5,5
32.52,2020.0,5.0,998.0,48021.0,58.3,6
11.57,2010.0,7.0,2179.0,120000.0,138.1,7
23.84,2018.0,5.0,1199.0,98982.0,84.0,8
17.5,2017.0,5.0,1199.0,30995.0,88.7,9
17.4,2018.0,5.0,1497.0,43000.0,117.6,10
20.3,2021.0,5.0,1086.0,26873.0,68.0,11
22.1,2019.0,5.0,1396.0,52665.0,88.7,12
18.5,2016.0,5.0,1197.0,50000.0,85.8,13
13.5,2014.0,7.0,2477.0,110000.0,175.5,14
15.29,2017.0,5.0,1591.0,31097.0,121.3,15
16.0,2016.0,7.0,1997.0,80000.0,140.0,16
18.9,2016.0,5.0,1197.0,71688.0,82.0,17
14.0,2001.0,5.0,796.0,30000.0,35.0,18
20.54,2014.0,5.0,1598.0,53000.0,103.6,19
17.4,2015.0,5.0,1497.0,46397.0,117.3,20
18.69,2018.0,7.0,1462.0,70000.0,103.0,21
15.04,2012.0,5.0,1598.0,68000.0,103.6,22
17.01,2011.0,5.0,1591.0,50000.0,121.3,23
21.5,2019.0,5.0,1497.0,90000.0,108.5,24
20.7,2019.0,5.0,1197.0,22179.0,81.8,25
16.09,2013.0,5.0,1598.0,59841.0,103.2,26
17.0,2019.0,5.0,1956.0,51000.0,138.1,27
12.6,2020.0,5.0,1950.0,30000.0,194.0,28
17.92,2010.0,5.0,1086.0,84338.0,62.1,29
22.41,2020.0,5.0,0.0,50000.0,140.8,30
21.1,2012.0,5.0,1197.0,80000.0,88.5,31
18.9,2016.0,5.0,814.0,48144.0,55.2,32
17.0,2012.0,5.0,998.0,47763.0,67.1,33
18.9,2010.0,5.0,1197.0,120000.0,78.91,34
22.41,2018.0,5.0,1197.0,28447.0,81.8,35
19.81,2014.0,5.0,1197.0,24047.0,88.5,36
23.1,2015.0,5.0,1086.0,58066.0,68.0,37
18.25,2017.0,5.0,998.0,81849.0,67.0,38
21.1,2016.0,5.0,1968.0,70000.0,187.7,39
21.4,2011.0,5.0,814.0,66145.0,55.2,40
18.1,2018.0,5.0,1197.0,63256.0,83.1,41
19.1,2021.0,6.0,1493.0,21000.0,113.9,42
21.01,2014.0,5.0,1197.0,59400.0,85.8,43
21.4,2021.0,5.0,1197.0,18421.0,81.8,44
16.77,2018.0,5.0,1197.0,34140.0,83.1,45
20.54,2018.0,5.0,2993.0,22000.0,261.4,46
12.05,2012.0,5.0,1598.0,85000.0,103.6,47
25.2,2020.0,7.0,2157.0,47000.0,178.4,48
