mileage,ano,seats,engine_capacity,kms_driven,max_power,body_type_id,modelo_id,marca_id,city_id,insurance_id,owner_type_id,fuel_type_id
23.84,2019.0,5.0,1199.0,30910.0,83.8,3,2275,28,12,3,1,4
17.5,2018.0,5.0,1199.0,48089.0,88.7,7,2500,10,8,4,4,4
17.4,2015.0,5.0,1497.0,51000.0,117.3,8,582,10,11,3,3,4
14.08,2021.0,7.0,1956.0,30000.0,167.6,7,1524,28,11,3,1,1
21.4,2019.0,5.0,1197.0,61113.0,83.1,3,322,20,9,4,1,4
17.66,2021.0,4.0,2993.0,31738.0,261.4,8,50,1,12,3,1,1
17.52,2021.0,5.0,1197.0,30000.0,81.8,7,2373,11,5,3,3,4
16.09,2015.0,5.0,1598.0,80000.0,103.5,8,2359,30,2,3,4,4
22.48,2018.0,5.0,1995.0,36000.0,187.7,8,34,1,5,3,1,1
18.24,2021.0,5.0,999.0,14608.0,98.6,7,1374,26,2,3,1,4
21.74,2019.0,5.0,999.0,25000.0,67.0,3,1338,26,5,0,1,4
23.01,2018.0,5.0,999.0,30000.0,67.0,3,1331,26,9,3,3,4
21.5,2019.0,5.0,1497.0,46034.0,108.5,7,1541,28,7,4,1,1
22.38,2013.0,5.0,1197.0,50824.0,88.5,3,2165,20,7,3,1,4
18.0,2017.0,5.0,1497.0,120848.0,117.6,8,590,10,2,4,1,4
22.41,2015.0,5.0,1197.0,36888.0,88.5,8,2121,20,5,3,3,4
27.39,2018.0,5.0,1248.0,83083.0,74.0,3,337,20,8,0,1,1
16.55,2018.0,6.0,2498.0,59889.0,105.0,7,2231,19,2,3,1,1
19.0,2018.0,5.0,1194.0,45600.0,94.6,3,1008,9,7,4,1,4
15.1,2019.0,7.0,2179.0,80000.0,152.8,7,2694,19,7,3,1,1
18.6,2017.0,5.0,1197.0,26997.0,81.8,3,2862,11,7,0,1,4
0.0,2022.0,5.0,1451.0,10000.0,141.0,7,1125,18,5,3,3,4
20.36,2011.0,5.0,1197.0,63386.0,78.9,3,2824,11,12,3,1,4
16.38,2017.0,5.0,1999.0,56000.0,177.0,7,940,13,2,0,1,1
18.2,2017.0,5.0,1199.0,47000.0,88.7,3,1290,10,2,0,1,4
22.77,2017.0,5.0,1498.0,70681.0,98.5,7,812,9,2,0,1,1
17.0,2020.0,5.0,1591.0,30000.0,121.3,8,2466,11,6,3,1,4
17.6,2019.0,5.0,1582.0,56000.0,126.2,7,695,11,2,0,1,1
0.0,2022.0,7.0,1462.0,30000.0,91.1,4,893,20,5,3,1,0
18.15,2018.0,6.0,1198.0,60000.0,82.0,3,1309,19,5,3,3,4
17.4,2019.0,5.0,1197.0,23717.0,81.8,3,2923,11,3,3,3,4
18.6,2019.0,5.0,1197.0,28438.0,81.8,3,2877,11,7,4,3,4
19.34,2018.0,7.0,1462.0,68796.0,103.0,4,909,20,2,0,1,4
21.4,2017.0,5.0,1197.0,40356.0,83.1,3,325,20,2,0,1,4
0.0,2021.0,5.0,1493.0,19000.0,113.9,7,708,11,9,0,1,1
20.7,2022.0,5.0,1197.0,30000.0,81.8,3,1081,11,7,3,1,4
22.9,2012.0,5.0,1248.0,55544.0,74.0,3,2157,20,2,3,3,1
20.71,2021.0,5.0,799.0,14811.0,53.6,3,1780,6,4,0,1,4
17.7,2022.0,5.0,1497.0,5500.0,113.1,8,2448,11,9,3,1,4
15.8,2014.0,5.0,1499.0,50219.0,110.0,7,827,9,5,3,1,4
17.05,2021.0,5.0,1199.0,14127.0,118.3,7,1557,28,2,0,3,4
18.16,2017.0,5.0,1196.0,40000.0,86.8,8,269,9,1,3,1,4
16.0,2010.0,5.0,995.0,80000.0,62.14,3,2043,3,1,3,4,4
18.7,2016.0,5.0,1199.0,69425.0,88.7,3,1279,10,4,0,1,4
17.0,2017.0,5.0,1591.0,30000.0,121.3,8,2462,11,11,3,1,4
14.8,2019.0,5.0,1497.0,33000.0,121.3,7,810,9,2,0,3,4
0.0,2022.0,7.0,1482.0,11000.0,157.8,4,433,15,5,0,1,4
17.7,2017.0,5.0,1591.0,23750.0,121.3,8,2465,11,11,3,1,4
15.74,2014.0,5.0,1591.0,100000.0,121.3,8,2426,11,5,3,3,4
18.3,2011.0,5.0,1991.0,80000.0,147.9,8,729,3,5,3,3,1
15.6,2011.0,5.0,1497.0,63000.0,116.3,8,555,10,11,0,3,4
15.68,2018.0,5.0,1999.0,51620.0,177.0,7,1823,16,9,3,3,1
18.9,2011.0,5.0,998.0,60014.0,67.1,3,2534,20,4,3,3,4
24.2,2014.0,7.0,1498.0,90000.0,98.6,4,1477,10,1,0,1,1
14.11,2020.0,7.0,2199.0,42885.0,197.2,4,440,15,2,4,1,1
16.35,2021.0,5.0,1199.0,38323.0,118.3,7,1582,28,8,0,1,4
20.36,2012.0,5.0,1197.0,70000.0,78.9,3,2824,11,5,3,3,4
22.05,2021.0,5.0,796.0,10000.0,47.3,3,152,20,5,0,1,4
15.8,2011.0,5.0,1598.0,120000.0,103.56,8,2363,30,11,3,3,4
17.01,2012.0,5.0,1591.0,120000.0,121.3,8,2423,11,7,3,1,4
17.4,2015.0,5.0,1497.0,41585.0,117.3,8,582,10,11,0,1,4
23.95,2014.0,5.0,998.0,80000.0,67.0,3,163,20,3,3,0,4
19.17,2021.0,5.0,999.0,20537.0,71.0,7,1362,26,1,3,3,4
19.0,2018.0,5.0,1194.0,54813.0,94.6,3,1008,9,2,3,1,4
18.0,2021.0,5.0,998.0,30000.0,118.3,7,2401,11,7,3,1,4
18.0,2014.0,5.0,1198.0,64000.0,86.7,8,225,10,1,3,3,4
17.8,2009.0,5.0,1248.0,120000.0,73.97,3,2176,20,7,3,3,1
18.0,2016.0,5.0,1497.0,70000.0,117.3,8,579,10,5,3,3,4
20.0,2021.0,5.0,998.0,6000.0,118.3,3,2926,11,2,0,3,4
26.1,2019.0,5.0,1498.0,60000.0,99.2,8,281,9,7,3,1,1
21.4,2018.0,5.0,1197.0,74325.0,83.1,3,323,20,12,0,1,4
19.67,2017.0,5.0,1582.0,110000.0,126.2,7,687,11,4,3,1,1
12.8,2007.0,8.0,2494.0,120000.0,102.0,4,1217,29,8,3,3,1
22.07,2013.0,5.0,1199.0,80000.0,73.9,3,1651,30,5,3,1,1
26.2,2012.0,5.0,998.0,71713.0,58.2,3,2521,20,6,0,1,0
18.06,2010.0,5.0,1198.0,100000.0,75.0,3,1466,23,5,3,1,4
22.38,2015.0,5.0,1197.0,62223.0,88.5,3,2165,20,2,0,3,4
21.5,2018.0,5.0,1497.0,109357.0,108.5,7,1540,28,11,0,1,1
20.0,2021.0,7.0,999.0,24317.0,71.0,4,2311,26,2,2,1,4
21.4,2017.0,5.0,1197.0,54024.0,83.1,3,323,20,4,0,1,4
22.41,2014.0,5.0,1197.0,42776.0,88.5,8,2121,20,1,0,1,4
34.05,2022.0,5.0,998.0,1962.0,55.9,3,2522,20,3,0,1,0
20.51,2014.0,7.0,1462.0,18866.0,101.6,4,895,20,6,0,1,4
17.8,2017.0,5.0,1497.0,60000.0,117.3,8,581,10,4,3,1,4
