insurance,owner_type,transmission_type,resale_price_Lakh
Third Party,First Owner,Manual,5.66
Zero Dep,Third Owner,Manual,6.64
Third Party,Second Owner,Manual,5.65
Third Party,First Owner,Automatic,23.0
Zero Dep,First Owner,Automatic,6.87
Third Party,First Owner,Automatic,115.0
Third Party,Second Owner,Manual,7.85
Third Party,Third Owner,Manual,5.95
Third Party,First Owner,Automatic,38.75
Third Party,First Owner,Automatic,9.6
Comprehensive,First Owner,Manual,3.49
Third Party,Second Owner,Manual,3.1
Zero Dep,First Owner,Automatic,10.22
Third Party,First Owner,Manual,4.55
Zero Dep,First Owner,Automatic,7.18
Third Party,Second Owner,Manual,3.78
Comprehensive,First Owner,Manual,6.75
Third Party,First Owner,Manual,9.85
Zero Dep,First Owner,Manual,5.5
Third Party,First Owner,Automatic,15.0
Comprehensive,First Owner,Manual,6.68
Third Party,Second Owner,Automatic,21.0
Third Party,First Owner,Manual,2.46
Comprehensive,First Owner,Automatic,43.0
Comprehensive,First Owner,Automatic,7.75
Comprehensive,First Owner,Manual,7.33
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Automatic,15.75
Third Party,First Owner,Manual,11.5
Third Party,Second Owner,Manual,3.95
Third Party,Second Owner,Automatic,7.34
Zero Dep,Second Owner,Manual,7.59
Comprehensive,First Owner,Manual,9.0
Comprehensive,First Owner,Manual,7.12
Comprehensive,First Owner,Manual,10.49
Third Party,First Owner,Manual,7.5
Third Party,Second Owner,Manual,4.54
Comprehensive,First Owner,Manual,4.08
Third Party,First Owner,Manual,11.25
Third Party,First Owner,Manual,4.08
Comprehensive,Second Owner,Automatic,9.15
Third Party,First Owner,Manual,4.5
Third Party,Third Owner,Manual,0.85
Comprehensive,First Owner,Manual,5.5
Third Party,First Owner,Automatic,9.21
Comprehensive,Second Owner,Automatic,9.0
Comprehensive,First Owner,Automatic,16.5
Third Party,First Owner,Manual,8.0
Third Party,Second Owner,Automatic,4.0
Third Party,Second Owner,Manual,2.5
Comprehensive,Second Owner,Automatic,2.95
Third Party,Second Owner,Automatic,34.0
Third Party,Second Owner,Manual,2.75
Comprehensive,First Owner,Manual,5.5
Zero Dep,First Owner,Automatic,29.75
Comprehensive,First Owner,Automatic,10.25
Third Party,Second Owner,Manual,2.75
Comprehensive,First Owner,Manual,3.9
Third Party,Second Owner,Manual,2.5
Third Party,First Owner,Manual,3.4
Comprehensive,First Owner,Manual,5.94
Third Party,Fifth Owner,Automatic,2.5
Third Party,Second Owner,Manual,6.43
Third Party,First Owner,Manual,5.77
Third Party,First Owner,Manual,10.2
Third Party,Second Owner,Manual,3.3
Third Party,Second Owner,Manual,2.5
Third Party,Second Owner,Automatic,6.6
Comprehensive,Second Owner,Manual,8.75
Third Party,First Owner,Manual,5.9
Comprehensive,First Owner,Manual,6.7
Third Party,First Owner,Manual,8.5
Third Party,Second Owner,Manual,2.85
Third Party,First Owner,Manual,3.4
Comprehensive,First Owner,Manual,2.43
Third Party,First Owner,Manual,1.05
Comprehensive,Second Owner,Manual,5.06
Comprehensive,First Owner,Automatic,8.42
Not Available,First Owner,Manual,7.0
Comprehensive,First Owner,Manual,5.75
Comprehensive,First Owner,Manual,4.64
Comprehensive,First Owner,Manual,5.58
Comprehensive,First Owner,Manual,6.47
Third Party,First Owner,Manual,7.25
Comprehensive,First Owner,Manual,3.9
Third Party,First Owner,Manual,20.5
Comprehensive,First Owner,Manual,4.73
Third Party,First Owner,Automatic,17.5
Comprehensive,First Owner,Automatic,10.25
Third Party,First Owner,Manual,3.2
Comprehensive,First Owner,Manual,11.0
Third Party,First Owner,Automatic,9.17
Third Party,First Owner,Manual,5.38
Comprehensive,First Owner,Manual,4.31
Not Available,First Owner,Manual,2.45
Third Party,Second Owner,Manual,2.31
Comprehensive,First Owner,Automatic,4.98
Third Party,Second Owner,Automatic,3.5
Comprehensive,First Owner,Manual,4.65
Third Party,First Owner,Manual,9.52
Third Party,Second Owner,Manual,4.5
Third Party,First Owner,Automatic,16.0
Comprehensive,Second Owner,Manual,4.8
Comprehensive,First Owner,Automatic,5.0
Third Party,Third Owner,Manual,2.0
Comprehensive,Second Owner,Manual,6.92
Third Party,First Owner,Manual,17.0
Third Party,First Owner,Manual,7.6
Third Party,First Owner,Manual,4.85
Comprehensive,First Owner,Manual,3.49
Third Party,First Owner,Manual,7.1
Not Available,First Owner,Manual,2.45
Zero Dep,First Owner,Manual,5.64
Third Party,First Owner,Manual,5.5
Comprehensive,First Owner,Automatic,11.0
Third Party,First Owner,Manual,6.99
Third Party,First Owner,Manual,5.34
Third Party,First Owner,Automatic,17.0
Comprehensive,First Owner,Automatic,7.45
Third Party,First Owner,Manual,2.8
Third Party,First Owner,Manual,11.0
Third Party,Second Owner,Manual,6.0
Third Party,Fourth Owner,Automatic,10.0
Comprehensive,First Owner,Manual,3.64
Third Party,Second Owner,Manual,3.4
Third Party,Second Owner,Manual,2.53
Zero Dep,First Owner,Automatic,12.17
Third Party,First Owner,Automatic,6.6
Third Party,First Owner,Manual,5.74
Third Party,First Owner,Manual,5.96
Zero Dep,Second Owner,Automatic,5.12
Comprehensive,Second Owner,Manual,1.95
Comprehensive,Second Owner,Manual,9.75
Third Party,Second Owner,Manual,5.64
Third Party,First Owner,Manual,2.1
Third Party,Second Owner,Manual,6.4
Comprehensive,First Owner,Manual,2.65
Comprehensive,First Owner,Manual,7.23
Third Party,First Owner,Manual,19.5
Comprehensive,First Owner,Manual,2.35
Third Party,First Owner,Manual,3.99
Third Party,Second Owner,Manual,1.5
Third Party,First Owner,Manual,2.0
Third Party,First Owner,Automatic,9.2
Zero Dep,First Owner,Automatic,15.95
Comprehensive,Third Owner,Manual,5.65
Third Party,First Owner,Manual,9.5
Comprehensive,First Owner,Manual,6.25
Comprehensive,First Owner,Automatic,7.38
Not Available,Fourth Owner,Manual,1.18
Not Available,Third Owner,Manual,0.75635
Third Party,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,2.35
Zero Dep,First Owner,Manual,8.13
Third Party,First Owner,Manual,1.2
Comprehensive,First Owner,Automatic,16.85
Comprehensive,First Owner,Manual,4.54
Third Party,First Owner,Manual,13.2
Third Party,First Owner,Manual,1.7
Third Party,Second Owner,Automatic,9.5
Zero Dep,Second Owner,Manual,7.1
Third Party,First Owner,Automatic,7.81
Not Available,First Owner,Automatic,11.15
Third Party,First Owner,Automatic,8.13
Zero Dep,First Owner,Automatic,6.72
Third Party,First Owner,Manual,5.0
Third Party,First Owner,Automatic,16.4
Third Party,First Owner,Manual,2.1
Comprehensive,First Owner,Manual,5.5
Comprehensive,Second Owner,Automatic,26.5
Comprehensive,First Owner,Manual,4.83
Third Party,First Owner,Manual,3.7
Third Party,First Owner,Automatic,15.08
Zero Dep,First Owner,Manual,13.21
Third Party,First Owner,Manual,4.75
Third Party,First Owner,Manual,3.6
Third Party,Fourth Owner,Automatic,10.0
Third Party,First Owner,Automatic,18.5
Third Party,First Owner,Manual,4.45
Third Party,First Owner,Manual,6.39
Comprehensive,First Owner,Automatic,19.86
Third Party,Third Owner,Manual,1.75
Third Party,Second Owner,Manual,3.0
Third Party,Third Owner,Manual,4.21
Third Party,Second Owner,Manual,2.49
Third Party,Second Owner,Manual,7.95
Comprehensive,First Owner,Manual,2.1
Third Party,First Owner,Automatic,6.39
Comprehensive,Second Owner,Manual,8.67
Third Party,Second Owner,Manual,3.99
Third Party,Third Owner,Manual,0.5
Third Party,First Owner,Manual,6.39
Third Party,First Owner,Manual,6.39
Comprehensive,First Owner,Manual,7.95
Zero Dep,First Owner,Manual,6.64
Third Party,First Owner,Manual,4.8
Third Party,First Owner,Manual,7.15
Comprehensive,First Owner,Manual,6.45
Third Party,First Owner,Automatic,9.32
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,5.62
Third Party,First Owner,Automatic,10.15
Comprehensive,First Owner,Manual,3.57
Not Available,First Owner,Automatic,18.0
Comprehensive,Second Owner,Automatic,13.9
Third Party,First Owner,Automatic,10.8
Third Party,Second Owner,Manual,5.48
Third Party,Second Owner,Automatic,12.56
Zero Dep,First Owner,Manual,5.12
Third Party,First Owner,Automatic,32.0
Third Party,Second Owner,Manual,5.0
Comprehensive,First Owner,Manual,3.85
Comprehensive,First Owner,Manual,5.99
Comprehensive,First Owner,Manual,4.85
Third Party,First Owner,Manual,2.5
Zero Dep,First Owner,Manual,7.19
Third Party,First Owner,Manual,4.3
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Manual,2.95
Third Party,Second Owner,Manual,1.75
Zero Dep,Second Owner,Manual,3.43
Comprehensive,Second Owner,Manual,4.14
Comprehensive,First Owner,Manual,2.79
Third Party,First Owner,Manual,16.25
Comprehensive,First Owner,Manual,3.45
Third Party,Second Owner,Automatic,6.5
Comprehensive,First Owner,Manual,8.19
Third Party,Second Owner,Automatic,9.25
Third Party,Second Owner,Manual,6.99
Comprehensive,First Owner,Manual,10.9
Third Party,First Owner,Manual,2.6
Comprehensive,First Owner,Automatic,18.75
Comprehensive,First Owner,Automatic,5.45
Comprehensive,Fourth Owner,Automatic,25.99
Third Party,First Owner,Manual,5.1
Third Party,First Owner,Manual,1.72
Third Party,First Owner,Manual,4.5
Third Party,First Owner,Manual,6.1
Comprehensive,Second Owner,Manual,2.8
Comprehensive,First Owner,Manual,9.34
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,2.85
Comprehensive,Second Owner,Manual,4.84
Comprehensive,First Owner,Manual,4.76
Not Available,First Owner,Manual,8.0
Comprehensive,First Owner,Automatic,7.99
Comprehensive,First Owner,Manual,9.75
Not Available,Third Owner,Manual,2.5
Third Party,First Owner,Manual,3.37
Third Party,First Owner,Automatic,42.0
Third Party,First Owner,Manual,3.3
Comprehensive,First Owner,Manual,3.95
Third Party,Second Owner,Manual,2.6
Comprehensive,First Owner,Manual,4.09
Comprehensive,First Owner,Automatic,15.75
Third Party,Second Owner,Manual,1.95
Third Party,First Owner,Manual,6.0
Comprehensive,Second Owner,Automatic,53.0
Third Party,Second Owner,Manual,1.95
Third Party,First Owner,Manual,5.05
Third Party,First Owner,Manual,7.25
Comprehensive,Second Owner,Manual,5.27
Third Party,First Owner,Manual,11.5
Third Party,Third Owner,Manual,5.37
Third Party,First Owner,Manual,13.0
Third Party,Fifth Owner,Manual,1.2
Third Party,Second Owner,Manual,5.5
Third Party,Second Owner,Manual,3.75
Third Party,First Owner,Manual,4.4
Third Party,First Owner,Manual,17.8
Third Party,Second Owner,Manual,2.9
Third Party,First Owner,Manual,3.2
Third Party,First Owner,Manual,6.0
Comprehensive,Second Owner,Manual,2.54
Third Party,First Owner,Manual,5.0
Third Party,First Owner,Manual,11.5
Comprehensive,First Owner,Manual,4.5
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,5.25
Comprehensive,First Owner,Automatic,5.65
Third Party,First Owner,Automatic,15.99
Third Party,First Owner,Manual,2.45
Comprehensive,First Owner,Manual,5.15
Comprehensive,First Owner,Manual,8.8
Third Party,Second Owner,Manual,5.03
Zero Dep,First Owner,Manual,4.65
Third Party,First Owner,Automatic,18.0
Third Party,Second Owner,Manual,4.75
Third Party,Second Owner,Automatic,3.35
Third Party,Second Owner,Manual,3.12
Comprehensive,First Owner,Automatic,9.87
Third Party,First Owner,Automatic,20.0
Third Party,First Owner,Manual,7.5
Comprehensive,Second Owner,Manual,5.5
Comprehensive,First Owner,Manual,2.65
Comprehensive,Third Owner,Automatic,4.49
Comprehensive,First Owner,Manual,10.5
Third Party,Second Owner,Automatic,6.03
Comprehensive,First Owner,Manual,6.1
Not Available,Second Owner,Manual,9.0
Comprehensive,Second Owner,Automatic,20.0
Third Party,First Owner,Manual,14.0
Third Party,First Owner,Manual,9.0
Third Party,First Owner,Manual,2.97
Zero Dep,First Owner,Manual,6.66
Comprehensive,First Owner,Manual,4.18
Third Party,First Owner,Manual,4.5
Third Party,Second Owner,Automatic,1.7
Not Available,Second Owner,Manual,2.15
Comprehensive,First Owner,Automatic,32.0
Third Party,First Owner,Manual,2.2
Not Available,Second Owner,Manual,5.0
Comprehensive,First Owner,Automatic,5.5
Comprehensive,First Owner,Manual,2.84
Comprehensive,First Owner,Manual,3.0
Third Party,First Owner,Manual,6.39
Comprehensive,First Owner,Automatic,42.0
Zero Dep,First Owner,Manual,6.0
Third Party,Third Owner,Manual,3.0
Third Party,First Owner,Manual,6.0
Comprehensive,Second Owner,Manual,4.8
Third Party,First Owner,Manual,8.5
Third Party,First Owner,Manual,4.65
Third Party,First Owner,Automatic,7.25
Third Party,First Owner,Manual,2.35
Third Party,First Owner,Automatic,10.5
Third Party,First Owner,Manual,7.75
Third Party,First Owner,Manual,2.44
Comprehensive,First Owner,Manual,5.5
Third Party,First Owner,Automatic,12.0
Third Party,Second Owner,Manual,1.6
Zero Dep,Second Owner,Manual,6.45
Comprehensive,First Owner,Manual,18.9
Comprehensive,First Owner,Manual,3.98
Third Party,Third Owner,Automatic,7.49
Third Party,Third Owner,Manual,4.5
Third Party,Second Owner,Manual,4.5
Third Party,First Owner,Manual,5.25
Third Party,First Owner,Manual,2.55
Third Party,First Owner,Manual,8.21
Third Party,Second Owner,Manual,4.01
Comprehensive,First Owner,Automatic,4.92
Third Party,Second Owner,Manual,0.3
Third Party,First Owner,Automatic,12.0
Third Party,First Owner,Manual,0.35
Comprehensive,First Owner,Automatic,15.75
Third Party,First Owner,Manual,4.24
Third Party,First Owner,Manual,4.6
Comprehensive,First Owner,Manual,13.25
Zero Dep,First Owner,Manual,3.17
Third Party,Second Owner,Manual,5.29
Third Party,First Owner,Manual,4.8
Zero Dep,First Owner,Automatic,8.38
Third Party,First Owner,Manual,8.38
Third Party,First Owner,Automatic,15.99
Comprehensive,First Owner,Automatic,5.55
Comprehensive,First Owner,Automatic,7.5
Third Party,First Owner,Manual,5.49
Third Party,Second Owner,Manual,4.1
Third Party,First Owner,Manual,3.0
Third Party,Third Owner,Manual,3.5
Comprehensive,First Owner,Manual,2.45
Third Party,First Owner,Manual,3.26
Third Party,First Owner,Manual,2.15
Comprehensive,First Owner,Automatic,64.5
Third Party,Second Owner,Manual,5.0
Third Party,Third Owner,Manual,2.3
Comprehensive,Second Owner,Automatic,23.0
Third Party,Third Owner,Manual,2.1
Comprehensive,First Owner,Automatic,24.9
Third Party,First Owner,Manual,3.6
Zero Dep,First Owner,Manual,8.26
Third Party,First Owner,Manual,4.2
Not Available,First Owner,Manual,7.0
Comprehensive,Second Owner,Manual,5.11
Comprehensive,First Owner,Manual,5.21
Comprehensive,First Owner,Manual,5.15
Third Party,First Owner,Manual,10.5
Third Party,Second Owner,Manual,1.83
Third Party,First Owner,Manual,4.0
Third Party,First Owner,Manual,7.25
Third Party,Second Owner,Manual,6.22
Comprehensive,First Owner,Manual,7.75
Third Party,Second Owner,Manual,9.79
Third Party,Second Owner,Manual,6.25
Not Available,First Owner,Manual,4.75
Third Party,First Owner,Automatic,4.21
Third Party,Second Owner,Manual,15.25
Comprehensive,First Owner,Automatic,4.99
Comprehensive,First Owner,Manual,4.09
Third Party,First Owner,Manual,4.75
Third Party,First Owner,Automatic,14.9
Comprehensive,First Owner,Manual,6.3
Comprehensive,First Owner,Manual,3.25
Third Party,First Owner,Manual,7.43
Third Party,First Owner,Automatic,8.06
Comprehensive,Second Owner,Manual,1.1
Third Party,First Owner,Manual,13.0
Comprehensive,Second Owner,Manual,18.25
Third Party,First Owner,Manual,5.08
Third Party,First Owner,Manual,2.4
Third Party,First Owner,Manual,10.5
Third Party,First Owner,Automatic,24.8
Comprehensive,First Owner,Manual,7.36
Third Party,First Owner,Manual,4.99
Zero Dep,First Owner,Manual,6.59
Zero Dep,First Owner,Manual,3.72
Third Party,Second Owner,Manual,6.99
Third Party,Second Owner,Manual,3.25
Third Party,First Owner,Manual,15.0
Comprehensive,Second Owner,Automatic,18.99
Zero Dep,Second Owner,Manual,3.89
Third Party,First Owner,Manual,6.42
Third Party,First Owner,Automatic,28.5
Third Party,First Owner,Automatic,14.0
Comprehensive,First Owner,Automatic,4.35
Comprehensive,First Owner,Automatic,5.35
Third Party,First Owner,Automatic,12.25
Comprehensive,First Owner,Manual,4.3
Third Party,Second Owner,Manual,2.0
Comprehensive,First Owner,Automatic,3.58
Comprehensive,Second Owner,Manual,2.45
Third Party,First Owner,Manual,6.5
Third Party,Second Owner,Manual,3.8
Third Party,Second Owner,Manual,1.4
Comprehensive,First Owner,Automatic,7.7
Third Party,First Owner,Manual,2.45
Third Party,Second Owner,Manual,2.3
Third Party,First Owner,Manual,9.74
Third Party,First Owner,Manual,4.11
Comprehensive,Second Owner,Manual,5.43
Zero Dep,First Owner,Automatic,7.25
Third Party,Second Owner,Manual,3.4
Comprehensive,First Owner,Manual,6.79
Comprehensive,First Owner,Manual,1.83
Third Party,Second Owner,Automatic,2.0
Third Party,First Owner,Manual,13.6
Third Party,First Owner,Automatic,12.75
Third Party,Second Owner,Manual,2.3
Comprehensive,First Owner,Manual,2.95
Third Party,Second Owner,Manual,2.95
Not Available,First Owner,Manual,1.4
Third Party,First Owner,Manual,2.57
Comprehensive,First Owner,Manual,8.0
Comprehensive,First Owner,Automatic,28.0
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,17.0
Third Party,First Owner,Manual,13.25
Zero Dep,First Owner,Manual,10.06
Third Party,Second Owner,Manual,0.8
Comprehensive,Third Owner,Manual,17.5
Third Party,Second Owner,Manual,10.0
Comprehensive,First Owner,Manual,3.85
Third Party,First Owner,Automatic,5.75
Comprehensive,Second Owner,Manual,8.1
Third Party,First Owner,Manual,2.65
Comprehensive,First Owner,Manual,5.95
Third Party,First Owner,Automatic,7.84
Comprehensive,First Owner,Manual,4.21
Third Party,First Owner,Manual,8.44
Comprehensive,First Owner,Automatic,47.5
Zero Dep,First Owner,Manual,5.15
Third Party,First Owner,Manual,5.5
Comprehensive,First Owner,Manual,3.15
Comprehensive,First Owner,Manual,11.25
Third Party,First Owner,Manual,6.75
Third Party,First Owner,Automatic,16.75
Third Party,Third Owner,Automatic,2.85
Third Party,First Owner,Manual,3.23
Comprehensive,First Owner,Automatic,16.4
Third Party,First Owner,Manual,10.0
Comprehensive,First Owner,Manual,9.25
Comprehensive,First Owner,Manual,7.65
Comprehensive,First Owner,Automatic,16.21
Third Party,First Owner,Manual,2.65
Comprehensive,Second Owner,Automatic,3.65
Third Party,First Owner,Manual,4.35
Third Party,First Owner,Automatic,4.25
Comprehensive,First Owner,Manual,5.88
Third Party,First Owner,Manual,3.99
Not Available,First Owner,Automatic,7.5
Third Party,Second Owner,Manual,3.75
Third Party,First Owner,Manual,8.72
Third Party,First Owner,Manual,4.15
Third Party,First Owner,Manual,5.2
Comprehensive,First Owner,Manual,5.7
Third Party,Second Owner,Manual,4.0
Comprehensive,First Owner,Automatic,17.5
Comprehensive,First Owner,Manual,4.7
Third Party,First Owner,Manual,3.15
Third Party,First Owner,Manual,3.85
Comprehensive,First Owner,Manual,5.36
Third Party,First Owner,Manual,4.15
Third Party,Second Owner,Manual,1.9
Third Party,First Owner,Manual,5.44
Third Party,First Owner,Manual,6.5
Third Party,Second Owner,Manual,2.0
Comprehensive,First Owner,Manual,4.03
Not Available,First Owner,Manual,8.39
Third Party,Fifth Owner,Manual,0.69
Comprehensive,Second Owner,Automatic,24.0
Comprehensive,First Owner,Manual,7.46
Comprehensive,First Owner,Manual,4.95
Third Party,Third Owner,Manual,2.1
Third Party,First Owner,Manual,11.8
Comprehensive,First Owner,Automatic,6.45
Third Party,First Owner,Manual,1.0
Third Party,First Owner,Manual,5.25
Comprehensive,Third Owner,Manual,3.83
Third Party,First Owner,Manual,4.75
Third Party,Second Owner,Automatic,3.49
Third Party,Second Owner,Manual,10.35
Third Party,First Owner,Automatic,4.25
Comprehensive,First Owner,Automatic,29.99
Third Party,First Owner,Manual,8.5
Comprehensive,Third Owner,Manual,1.88
Comprehensive,First Owner,Automatic,24.0
Third Party,Second Owner,Manual,0.88
Zero Dep,First Owner,Manual,9.1
Third Party,First Owner,Automatic,6.95
Third Party,First Owner,Manual,9.63
Comprehensive,First Owner,Manual,4.0
Third Party,First Owner,Automatic,18.25
Comprehensive,Second Owner,Automatic,17.75
Third Party,First Owner,Automatic,17.5
Third Party,First Owner,Manual,3.4
Comprehensive,Second Owner,Automatic,3.6
Third Party,First Owner,Manual,16.5
Comprehensive,First Owner,Manual,5.0
Third Party,First Owner,Automatic,5.5
Comprehensive,First Owner,Manual,4.1
Not Available,First Owner,Manual,5.12
Comprehensive,First Owner,Manual,4.25
Third Party,First Owner,Automatic,12.0
Comprehensive,First Owner,Automatic,12.7
Third Party,First Owner,Manual,4.52
Comprehensive,First Owner,Manual,3.9
Comprehensive,First Owner,Manual,6.6
Third Party,Second Owner,Manual,7.5
Third Party,First Owner,Manual,3.24
Third Party,Second Owner,Automatic,12.0
Third Party,First Owner,Automatic,18.75
Third Party,First Owner,Manual,13.77
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Manual,3.97
Third Party,First Owner,Manual,5.45
Third Party,Fourth Owner,Manual,2.5
Comprehensive,Second Owner,Manual,7.95
Comprehensive,First Owner,Manual,5.6
Third Party,First Owner,Manual,5.1
Comprehensive,First Owner,Automatic,8.75
Third Party,First Owner,Manual,3.8
Comprehensive,First Owner,Automatic,41.75
Not Available,First Owner,Manual,4.5
Not Available,First Owner,Automatic,14.95
Third Party,First Owner,Manual,7.0
Comprehensive,First Owner,Manual,6.7
Third Party,First Owner,Manual,4.57
Third Party,Second Owner,Automatic,27.5
Comprehensive,First Owner,Automatic,60.5
Third Party,Second Owner,Manual,6.48
Zero Dep,First Owner,Manual,4.34
Zero Dep,First Owner,Automatic,7.16
Not Available,Fifth Owner,Manual,2.61
Third Party,First Owner,Manual,11.95
Comprehensive,First Owner,Manual,3.01
Not Available,First Owner,Manual,2.15
Third Party,First Owner,Automatic,4.88
Comprehensive,First Owner,Manual,3.5
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,2.8
Third Party,First Owner,Manual,5.0
Not Available,Second Owner,Manual,3.0
Third Party,First Owner,Manual,18.0
Comprehensive,Second Owner,Manual,1.51
Third Party,First Owner,Manual,9.0
Third Party,First Owner,Manual,3.98
Third Party,Second Owner,Manual,1.5
