full_name,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,resale_price_Lakh,ano,marca,modelo,fuel_type_id,owner_type_id,insurance_id,city_id,marca_id,modelo_id,body_type_id,transmission_type_id
2019 Tata Tiago XZ Plus,Nov 2019,1199.0,Third Party,Manual,30910.0,First Owner,Petrol,83.8,5.0,23.84,Hatchback,Pune,5.66,2019.0,Tata,Tiago XZ Plus,4,1,3,12,28,2275,3,1
2018 Honda WR-V i-VTEC VX,Apr 2018,1199.0,Zero Dep,Manual,48089.0,Third Owner,Petrol,88.7,5.0,17.5,SUV,Jaipur,6.64,2018.0,Honda,WR-V i-VTEC VX,4,4,4,8,10,2500,7,1
2015 Honda City i VTEC SV,May 2015,1497.0,Third Party,Manual,51000.0,Second Owner,Petrol,117.3,5.0,17.4,Sedan,Mumbai,5.65,2015.0,Honda,City i VTEC SV,4,3,3,11,10,582,8,1
2021 Tata New Safari XZA Plus Adventure Edition AT BSVI,2021,1956.0,Third Party,Automatic,30000.0,First Owner,Diesel,167.6,7.0,14.08,SUV,Mumbai,23.0,2021.0,Tata,New Safari XZA Plus Adventure Edition AT BSVI,1,1,3,11,28,1524,7,0
2019 Maruti Baleno 1.2 CVT Zeta,Jun 2019,1197.0,Zero Dep,Automatic,61113.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Kolkata,6.87,2019.0,Maruti,Baleno 1.2 CVT Zeta,4,1,4,9,20,322,3,0
2021 BMW 7 Series 730Ld DPE Signature,Aug 2021,2993.0,Third Party,Automatic,31738.0,First Owner,Diesel,261.4,4.0,17.66,Sedan,Pune,115.0,2021.0,BMW,7 Series 730Ld DPE Signature,1,1,3,12,1,50,8,0
2021 Hyundai Venue S BSIV,2021,1197.0,Third Party,Manual,30000.0,Second Owner,Petrol,81.8,5.0,17.52,SUV,Delhi,7.85,2021.0,Hyundai,Venue S BSIV,4,3,3,5,11,2373,7,1
2015 Volkswagen Vento 1.6 Highline Plus 16 Alloy,Aug 2015,1598.0,Third Party,Manual,80000.0,Third Owner,Petrol,103.5,5.0,16.09,Sedan,Bangalore,5.95,2015.0,Volkswagen,Vento 1.6 Highline Plus 16 Alloy,4,4,3,2,30,2359,8,1
2018 BMW 5 Series 520d Sport Line,Jul 2018,1995.0,Third Party,Automatic,36000.0,First Owner,Diesel,187.7,5.0,22.48,Sedan,Delhi,38.75,2018.0,BMW,5 Series 520d Sport Line,1,1,3,5,1,34,8,0
2021 Renault Kiger RXZ Turbo CVT DT,Jun 2021,999.0,Third Party,Automatic,14608.0,First Owner,Petrol,98.6,5.0,18.24,SUV,Bangalore,9.6,2021.0,Renault,Kiger RXZ Turbo CVT DT,4,1,3,2,26,1374,7,0
