transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,categoria_marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,resale_price_Lakh
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Tiago XZ Plus,3.1016845990153943,Tata,baixa,0.08651543231415959,23.84,2019.0,Pune,1.0911533681275127,Third Party,0.2604389224775805,5.0,1199.0,Petrol,0.18705300189294208,30910.0,83.8,First Owner,0.15304938540332447,5.66
Manual,0.14299043396197023,SUV,0.5971519548177764,WR-V i-VTEC VX,2.41880141457283,Honda,baixa,0.08651543231415959,17.5,2018.0,Jaipur,1.2893790723974448,Zero Dep,1.3196030550033182,5.0,1199.0,Petrol,0.18705300189294208,48089.0,88.7,Third Owner,1.3478926944911953,6.64
Manual,0.14299043396197023,Sedan,0.5614689181415616,City i VTEC SV,2.5990092398233435,Honda,baixa,0.08651543231415959,17.4,2015.0,Mumbai,0.9167351970099885,Third Party,0.2604389224775805,5.0,1497.0,Petrol,0.18705300189294208,51000.0,117.3,Second Owner,0.616479575070167,5.65
Automatic,0.5517900191151199,SUV,0.5971519548177764,New Safari XZA Plus Adventure Edition AT BSVI,3.6659560294539566,Tata,baixa,0.08651543231415959,14.08,2021.0,Mumbai,0.9167351970099885,Third Party,0.2604389224775805,7.0,1956.0,Diesel,0.5001184047638285,30000.0,167.6,First Owner,0.15304938540332447,23.0
Automatic,0.5517900191151199,Hatchback,0.3742912372656051,Baleno 1.2 CVT Zeta,2.7628660424620133,Maruti,baixa,0.08651543231415959,21.4,2019.0,Kolkata,1.1722656733011014,Zero Dep,1.3196030550033182,5.0,1197.0,Petrol,0.18705300189294208,61113.0,83.1,First Owner,0.15304938540332447,6.87
Automatic,0.5517900191151199,Sedan,0.5614689181415616,7 Series 730Ld DPE Signature,3.143077284173619,BMW,alta,1.233521254932444,17.66,2021.0,Pune,1.0911533681275127,Third Party,0.2604389224775805,4.0,2993.0,Diesel,0.5001184047638285,31738.0,261.4,First Owner,0.15304938540332447,115.0
Manual,0.14299043396197023,SUV,0.5971519548177764,Venue S BSIV,3.2979792441593623,Hyundai,baixa,0.08651543231415959,17.52,2021.0,Delhi,0.7606999807055055,Third Party,0.2604389224775805,5.0,1197.0,Petrol,0.18705300189294208,30000.0,81.8,Second Owner,0.616479575070167,7.85
Manual,0.14299043396197023,Sedan,0.5614689181415616,Vento 1.6 Highline Plus 16 Alloy,3.842047288509638,Volkswagen,baixa,0.08651543231415959,16.09,2015.0,Bangalore,0.8696130115522729,Third Party,0.2604389224775805,5.0,1598.0,Petrol,0.18705300189294208,80000.0,103.5,Third Owner,1.3478926944911953,5.95
Automatic,0.5517900191151199,Sedan,0.5614689181415616,5 Series 520d Sport Line,3.5410172928456567,BMW,alta,1.233521254932444,22.48,2018.0,Delhi,0.7606999807055055,Third Party,0.2604389224775805,5.0,1995.0,Diesel,0.5001184047638285,36000.0,187.7,First Owner,0.15304938540332447,38.75
Automatic,0.5517900191151199,SUV,0.5971519548177764,Kiger RXZ Turbo CVT DT,3.6659560294539566,Renault,baixa,0.08651543231415959,18.24,2021.0,Bangalore,0.8696130115522729,Third Party,0.2604389224775805,5.0,999.0,Petrol,0.18705300189294208,14608.0,98.6,First Owner,0.15304938540332447,9.6
Manual,0.14299043396197023,Hatchback,0.3742912372656051,KWID 1.0 RXT Opt,2.887804779070313,Renault,baixa,0.08651543231415959,21.74,2019.0,Delhi,0.7606999807055055,Comprehensive,0.4381549929502174,5.0,999.0,Petrol,0.18705300189294208,25000.0,67.0,First Owner,0.15304938540332447,3.49
Automatic,0.5517900191151199,Sedan,0.5614689181415616,,1.5464801885471589,,alta,1.233521254932444,19.27,2017.0,Pune,1.0911533681275127,Comprehensive,0.4381549929502174,5.0,2143.0,Diesel,0.5001184047638285,63000.0,170.0,First Owner,0.15304938540332447,26.5
Manual,0.14299043396197023,Hatchback,0.3742912372656051,KWID 1.0 RXT,2.6659560294539566,Renault,baixa,0.08651543231415959,23.01,2018.0,Kolkata,1.1722656733011014,Third Party,0.2604389224775805,5.0,999.0,Petrol,0.18705300189294208,30000.0,67.0,Second Owner,0.616479575070167,3.1
Automatic,0.5517900191151199,SUV,0.5971519548177764,Nexon 1.5 Revotorq XZA Plus DualTone,3.6659560294539566,Tata,baixa,0.08651543231415959,21.5,2019.0,Hyderabad,1.0334987372692326,Zero Dep,1.3196030550033182,5.0,1497.0,Diesel,0.5001184047638285,46034.0,108.5,First Owner,0.15304938540332447,10.22
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Swift VXI,1.8552755542433932,Maruti,baixa,0.08651543231415959,22.38,2013.0,Hyderabad,1.0334987372692326,Third Party,0.2604389224775805,5.0,1197.0,Petrol,0.18705300189294208,50824.0,88.5,First Owner,0.15304938540332447,4.55
Automatic,0.5517900191151199,Sedan,0.5614689181415616,City i-VTEC CVT V,3.1016845990153943,Honda,baixa,0.08651543231415959,18.0,2017.0,Bangalore,0.8696130115522729,Zero Dep,1.3196030550033182,5.0,1497.0,Petrol,0.18705300189294208,120848.0,117.6,First Owner,0.15304938540332447,7.18
Manual,0.14299043396197023,Sedan,0.5614689181415616,Swift Dzire VXI,2.117771418908849,Maruti,baixa,0.08651543231415959,22.41,2015.0,Delhi,0.7606999807055055,Third Party,0.2604389224775805,5.0,1197.0,Petrol,0.18705300189294208,36888.0,88.5,Second Owner,0.616479575070167,3.78
Automatic,0.5517900191151199,SUV,0.5971519548177764,,1.5464801885471589,,alta,1.233521254932444,11.0,2016.0,Delhi,0.7606999807055055,Comprehensive,0.4381549929502174,7.0,2987.0,Diesel,0.5001184047638285,66000.0,258.0,Second Owner,0.616479575070167,49.5
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Baleno Delta Diesel,3.6659560294539566,Maruti,baixa,0.08651543231415959,27.39,2018.0,Jaipur,1.2893790723974448,Comprehensive,0.4381549929502174,5.0,1248.0,Diesel,0.5001184047638285,83083.0,74.0,First Owner,0.15304938540332447,6.75
Manual,0.14299043396197023,SUV,0.5971519548177764,Thar CRDe,3.0291339318667823,Mahindra,baixa,0.08651543231415959,16.55,2018.0,Bangalore,0.8696130115522729,Third Party,0.2604389224775805,6.0,2498.0,Diesel,0.5001184047638285,59889.0,105.0,First Owner,0.15304938540332447,9.85
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Freestyle Titanium Petrol BSIV,3.1888347747342944,Ford,baixa,0.08651543231415959,19.0,2018.0,Hyderabad,1.0334987372692326,Zero Dep,1.3196030550033182,5.0,1194.0,Petrol,0.18705300189294208,45600.0,94.6,First Owner,0.15304938540332447,5.5
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Etios Liva GD,3.1016845990153943,Toyota,media,0.9121177284250501,23.59,2012.0,Chennai,1.1310841695143623,Comprehensive,0.4381549929502174,5.0,1364.0,Diesel,0.5001184047638285,74000.0,103.88974615994809,First Owner,0.15304938540332447,4.25
Automatic,0.5517900191151199,SUV,0.5971519548177764,XUV500 W7 AT BSIV,3.6659560294539566,Mahindra,baixa,0.08651543231415959,15.1,2019.0,Hyderabad,1.0334987372692326,Third Party,0.2604389224775805,7.0,2179.0,Diesel,0.5001184047638285,80000.0,152.8,First Owner,0.15304938540332447,15.0
Manual,0.14299043396197023,Hatchback,0.3742912372656051,i20 Asta 1.2,2.4106835243506506,Hyundai,baixa,0.08651543231415959,18.6,2017.0,Hyderabad,1.0334987372692326,Comprehensive,0.4381549929502174,5.0,1197.0,Petrol,0.18705300189294208,26997.0,81.8,First Owner,0.15304938540332447,6.68
Automatic,0.5517900191151199,SUV,0.5971519548177764,Hector Sharp CVT,3.1888347747342944,MG,media,0.9121177284250501,20.36,2022.0,Delhi,0.7606999807055055,Third Party,0.2604389224775805,5.0,1451.0,Petrol,0.18705300189294208,10000.0,141.0,Second Owner,0.616479575070167,21.0
Manual,0.14299043396197023,Hatchback,0.3742912372656051,i10 Sportz,2.5990092398233435,Hyundai,baixa,0.08651543231415959,16.38,2011.0,Pune,1.0911533681275127,Third Party,0.2604389224775805,5.0,1197.0,Petrol,0.18705300189294208,63386.0,78.9,First Owner,0.15304938540332447,2.46
Automatic,0.5517900191151199,SUV,0.5971519548177764,F-Pace Prestige 2.0 AWD,3.2399872971816754,Jaguar,media,0.9121177284250501,18.2,2017.0,Bangalore,0.8696130115522729,Comprehensive,0.4381549929502174,5.0,1999.0,Diesel,0.5001184047638285,56000.0,177.0,First Owner,0.15304938540332447,43.0
Automatic,0.5517900191151199,Hatchback,0.3742912372656051,Jazz V CVT,3.2399872971816754,Honda,baixa,0.08651543231415959,22.77,2017.0,Bangalore,0.8696130115522729,Comprehensive,0.4381549929502174,5.0,1199.0,Petrol,0.18705300189294208,47000.0,88.7,First Owner,0.15304938540332447,7.75
Manual,0.14299043396197023,SUV,0.5971519548177764,Ecosport 1.5 TDCi Platinum Edition BSIV,3.842047288509638,Ford,baixa,0.08651543231415959,17.0,2017.0,Bangalore,0.8696130115522729,Comprehensive,0.4381549929502174,5.0,1498.0,Diesel,0.5001184047638285,70681.0,98.5,First Owner,0.15304938540332447,7.33
Manual,0.14299043396197023,Sedan,0.5614689181415616,Verna VTVT 1.6 SX,2.8208579894397,Hyundai,baixa,0.08651543231415959,17.6,2020.0,Gurgaon,1.220871006734603,Third Party,0.2604389224775805,5.0,1591.0,Petrol,0.18705300189294208,30000.0,121.3,First Owner,0.15304938540332447,8.5
Automatic,0.5517900191151199,SUV,0.5971519548177764,Creta 1.6 SX Automatic Diesel,2.9389573015176946,Hyundai,baixa,0.08651543231415959,18.15,2019.0,Bangalore,0.8696130115522729,Comprehensive,0.4381549929502174,5.0,1582.0,Diesel,0.5001184047638285,56000.0,126.2,First Owner,0.15304938540332447,15.75
Manual,0.14299043396197023,MUV,1.362759972033468,Ertiga Tour STD CNG 2019-2022,3.5410172928456567,Maruti,baixa,0.08651543231415959,17.4,2022.0,Delhi,0.7606999807055055,Third Party,0.2604389224775805,7.0,1462.0,CNG,1.5366959190630143,30000.0,91.1,First Owner,0.15304938540332447,11.5
Manual,0.14299043396197023,Hatchback,0.3742912372656051,KUV 100 NXT G80 K6 Plus,3.842047288509638,Mahindra,baixa,0.08651543231415959,18.6,2018.0,Delhi,0.7606999807055055,Third Party,0.2604389224775805,6.0,1198.0,Petrol,0.18705300189294208,60000.0,82.0,Second Owner,0.616479575070167,3.95
Automatic,0.5517900191151199,Hatchback,0.3742912372656051,i20 Sportz Plus CVT BSIV,3.364926033789976,Hyundai,baixa,0.08651543231415959,19.34,2019.0,Chandigarh,1.6040011853808425,Third Party,0.2604389224775805,5.0,1197.0,Petrol,0.18705300189294208,23717.0,81.8,Second Owner,0.616479575070167,7.34
Manual,0.14299043396197023,Hatchback,0.3742912372656051,i20 Asta Option BSIV,3.364926033789976,Hyundai,baixa,0.08651543231415959,21.4,2019.0,Hyderabad,1.0334987372692326,Zero Dep,1.3196030550033182,5.0,1197.0,Petrol,0.18705300189294208,28438.0,81.8,Second Owner,0.616479575070167,7.59
Manual,0.14299043396197023,MUV,1.362759972033468,Ertiga ZXI Petrol,3.6659560294539566,Maruti,baixa,0.08651543231415959,11.3,2018.0,Bangalore,0.8696130115522729,Comprehensive,0.4381549929502174,7.0,1462.0,Petrol,0.18705300189294208,68796.0,103.0,First Owner,0.15304938540332447,9.0
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Baleno 1.2 Zeta,2.3649260337899753,Maruti,baixa,0.08651543231415959,20.7,2017.0,Bangalore,0.8696130115522729,Comprehensive,0.4381549929502174,5.0,1197.0,Petrol,0.18705300189294208,40356.0,83.1,First Owner,0.15304938540332447,7.12
Automatic,0.5517900191151199,SUV,0.5971519548177764,,1.5464801885471589,,alta,1.233521254932444,22.9,2016.0,Delhi,0.7606999807055055,Comprehensive,0.4381549929502174,7.0,2987.0,Diesel,0.5001184047638285,100000.0,254.8,Second Owner,0.616479575070167,32.5
Manual,0.14299043396197023,SUV,0.5971519548177764,Creta E Diesel BSVI,3.5410172928456567,Hyundai,baixa,0.08651543231415959,14.84,2021.0,Kolkata,1.1722656733011014,Comprehensive,0.4381549929502174,5.0,1493.0,Diesel,0.5001184047638285,19000.0,113.9,First Owner,0.15304938540332447,10.49
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Grand i10 Nios Sportz,2.781349448156026,Hyundai,baixa,0.08651543231415959,20.71,2022.0,Hyderabad,1.0334987372692326,Third Party,0.2604389224775805,5.0,1197.0,Petrol,0.18705300189294208,30000.0,81.8,First Owner,0.15304938540332447,7.5
Manual,0.14299043396197023,Hatchback,0.3742912372656051,Swift VDI,2.42707394053882,Maruti,baixa,0.08651543231415959,17.7,2012.0,Bangalore,0.8696130115522729,Third Party,0.2604389224775805,5.0,1248.0,Diesel,0.5001184047638285,55544.0,74.0,Second Owner,0.616479575070167,4.54
