transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,categoria_marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,resale_price_Lakh
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Tiago XZ Plus,0.29955356632334845,Tata,baixa,0.2695348073865004,23.84,2019.0,Pune,1.0951613137788256,Third Party,0.2561672213768721,5.0,1199.0,Petrol,0.1808108436013733,30910.0,83.8,First Owner,0.1513159043723507,5.66
Manual,0.13063448358318142,SUV,0.6002632621852876,WR-V i-VTEC VX,0.29955356632334845,Honda,baixa,0.2695348073865004,17.5,2018.0,Jaipur,1.2805577942736048,Zero Dep,1.3090775235586007,5.0,1199.0,Petrol,0.1808108436013733,48089.0,88.7,Third Owner,1.3553447922231374,6.64
Manual,0.13063448358318142,Sedan,0.5776796017468651,City i VTEC SV,0.29955356632334845,Honda,baixa,0.2695348073865004,17.4,2015.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,5.0,1497.0,Petrol,0.1808108436013733,51000.0,117.3,Second Owner,0.6196441032904012,5.65
Automatic,0.5851602224980227,SUV,0.6002632621852876,New Safari XZA Plus Adventure Edition AT BSVI,0.6877978260236047,Tata,baixa,0.2695348073865004,14.08,2021.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,7.0,1956.0,Diesel,0.5145358569867878,30000.0,167.6,First Owner,0.1513159043723507,23.0
Automatic,0.5851602224980227,Hatchback,0.36313833386560074,Baleno 1.2 CVT Zeta,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,21.4,2019.0,Kolkata,1.1705962136349577,Zero Dep,1.3090775235586007,5.0,1197.0,Petrol,0.1808108436013733,61113.0,83.1,First Owner,0.1513159043723507,6.87
Automatic,0.5851602224980227,Sedan,0.5776796017468651,7 Series 730Ld DPE Signature,0.6877978260236047,BMW,alta,1.584048388485243,17.66,2021.0,Pune,1.0951613137788256,Third Party,0.2561672213768721,4.0,2993.0,Diesel,0.5145358569867878,31738.0,261.4,First Owner,0.1513159043723507,115.0
Manual,0.13063448358318142,SUV,0.6002632621852876,Venue S BSIV,0.6877978260236047,Hyundai,baixa,0.2695348073865004,17.52,2021.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,30000.0,81.8,Second Owner,0.6196441032904012,7.85
Manual,0.13063448358318142,Sedan,0.5776796017468651,Vento 1.6 Highline Plus 16 Alloy,0.29955356632334845,Volkswagen,baixa,0.2695348073865004,16.09,2015.0,Bangalore,0.8686148605655614,Third Party,0.2561672213768721,5.0,1598.0,Petrol,0.1808108436013733,80000.0,103.5,Third Owner,1.3553447922231374,5.95
Automatic,0.5851602224980227,Sedan,0.5776796017468651,5 Series 520d Sport Line,0.29955356632334845,BMW,alta,1.584048388485243,22.48,2018.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1995.0,Diesel,0.5145358569867878,36000.0,187.7,First Owner,0.1513159043723507,38.75
Automatic,0.5851602224980227,SUV,0.6002632621852876,Kiger RXZ Turbo CVT DT,0.6877978260236047,Renault,baixa,0.2695348073865004,18.24,2021.0,Bangalore,0.8686148605655614,Third Party,0.2561672213768721,5.0,999.0,Petrol,0.1808108436013733,14608.0,98.6,First Owner,0.1513159043723507,9.6
