full_name,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,resale_price_Lakh
2019 Tata Tiago XZ Plus,Nov 2019,1199 cc,Third Party,Manual,"30,910 Kms",First Owner,Petrol,83.83bhp,5.0,23.84 kmpl,Hatchback,Pune,5.66
2018 Honda WR-V i-VTEC VX,Apr 2018,1199 cc,Zero Dep,Manual,"48,089 Kms",Third Owner,Petrol,88.7bhp,5.0,17.5 kmpl,SUV,Jaipur,6.64
2015 Honda City i VTEC SV,May 2015,1497 cc,Third Party insurance,Manual,"51,000 Kms",Second Owner,Petrol,117.3bhp,5.0,17.4 kmpl,Sedan,Mumbai,5.65
2021 Tata New Safari XZA Plus Adventure Edition AT BSVI,2021,1956 cc,Third Party insurance,Automatic,"30,000 Kms",First Owner,Diesel,167.67bhp,7.0,14.08 kmpl,SUV,Mumbai,23.0
2019 Maruti Baleno 1.2 CVT Zeta,Jun 2019,1197 cc,Zero Dep,Automatic,"61,113 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Kolkata,6.87
2021 BMW 7 Series 730Ld DPE Signature,Aug 2021,2993 cc,Third Party insurance,Automatic,"31,738 Kms",First Owner,Diesel,261.49bhp,4.0,17.66 kmpl,BMW,Pune,114.99999999999999
2021 Hyundai Venue S BSIV,2021,1197 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,81.86bhp,5.0,17.52 kmpl,SUV,Delhi,7.85
2015 Volkswagen Vento 1.6 Highline Plus 16 Alloy,Aug 2015,1598 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Petrol,103.5bhp,5.0,16.09 kmpl,Sedan,Bangalore,5.95
2018 BMW 5 Series 520d Sport Line,Jul 2018,1995 cc,Third Party insurance,Automatic,"36,000 Kms",First Owner,Diesel,187.74bhp,5.0,22.48 kmpl,Sedan,Delhi,38.75
2021 Renault Kiger RXZ Turbo CVT DT,Jun 2021,999 cc,Third Party,Automatic,"14,608 Kms",First Owner,Petrol,98.63bhp,5.0,18.24 kmpl,SUV,Bangalore,9.6
2019 Renault KWID 1.0 RXT Opt,Jul 2019,999 cc,Comprehensive,Manual,"25,000 Kms",First Owner,Petrol,67bhp,5.0,21.74 kmpl,Hatchback,Delhi,3.49
2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,May 2017,2143 cc,Comprehensive,Automatic,"63,000 Kms",First Owner,Diesel,170bhp,5.0,19.27 kmpl,Sedan,Pune,26.5
2018 Renault KWID 1.0 RXT,2018,999 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,67bhp,5.0,23.01 kmpl,Hatchback,Kolkata,3.1
