ID,prediction
0,5.02
1,6.7
2,1.2
3,2.1
4,6.7
5,29.0
6,6.0
7,2.0
8,4.0
9,6.66
10,7.85
11,6.2
12,9.5
13,2.6
14,7.95
15,9.21
16,8.5
17,4.44
18,0.58
19,4.35
20,4.39
21,7.3
22,2.93
23,3.5
24,7.72
25,6.6
26,5.1
27,16.3
28,29.95
29,1.2
30,21.0
31,3.49
32,2.6
33,3.2
34,1.4
35,4.5
36,4.64
37,3.32
38,4.62
39,20.25
40,2.5
41,6.18
42,18.0
43,3.14
44,7.75
45,7.0
46,49.95
47,4.49
48,22.95
49,4.4
50,10.25
51,6.1
52,6.0
53,1.25
54,3.75
55,4.11
56,2.5
57,6.0
58,8.36
59,11.74
60,4.25
61,3.5
62,9.0
63,10.57
64,10.9
65,4.95
66,18.5
67,1.5
68,17.5
69,7.35
70,4.25
71,4.85
72,4.98
73,5.15
74,17.9
75,15.25
76,5.9
77,0.5
78,3.6
79,3.85
80,8.95
81,25.9
82,8.25
83,44.0
84,15.0
85,19.5
86,6.75
87,3.71
88,5.5
89,23.5
90,3.75
91,19.22
92,14.95
93,4.45
94,10.22
95,1.59
96,4.95
97,3.49
98,4.1
99,14.5
100,7.5
101,2.96
102,3.49
103,4.96
104,8.75
105,16.0
106,3.0
107,1.59
108,4.8
109,6.25
110,5.85
111,4.5
112,17.45
113,5.54
114,4.75
115,6.67
116,5.0
117,0.5
118,6.11
119,5.95
120,17.45
121,24.4
122,8.52
123,10.33
124,5.25
125,4.97
126,2.93
127,5.9
128,5.0
129,2.5
130,5.47
131,6.75
132,14.0
133,8.11
134,7.2
135,5.98
136,4.85
137,2.75
138,6.53
139,8.0
140,2.5
141,2.33
142,5.6
143,68.0
144,5.87
145,5.08
146,4.15
147,4.17
148,52.5
149,3.0
150,6.5
151,5.65
152,2.2
153,0.88789
154,7.5
155,72.0
156,3.3
157,3.3
158,8.62
159,19.25
160,3.43
161,2.0
162,57.75
163,3.99
164,16.0
165,1.5
166,18.0
167,6.8
168,8.72
169,7.09
170,3.95
171,4.11
172,20.75
173,3.42
174,13.4
175,39.5
176,7.43
177,14.95
178,0.49
179,2.35
180,9.53
181,13.25
182,3.01
183,8.32
184,4.5
185,4.1
186,4.6
187,7.1
188,10.2
189,7.75
190,6.81
191,3.21
192,9.09
193,6.5
194,6.95
195,4.75
196,4.5
197,7.43
198,1.6
199,2.75
200,7.16
201,4.1
202,5.88
203,6.65
204,6.0
205,3.39
206,8.78
207,23.5
208,6.2
209,3.31
210,4.6
211,3.36
212,2.91
213,9.0
214,3.6
215,5.0
216,1.15
217,0.7
218,4.14
219,5.64
220,6.55
221,10.5
222,5.5
223,9.5
224,4.25
225,1.8
226,5.53
227,3.6
228,17.75
229,4.7
230,8.25
231,13.25
232,4.8
233,5.13
234,15.75
235,5.17
236,13.5
237,4.45
238,3.37
239,11.5
240,7.35
241,8.25
242,2.8
243,3.5
244,7.5
245,7.3
246,0.88
247,3.65
248,4.5
249,58.0
250,5.24
251,5.5
252,10.5
253,7.25
254,3.87
255,14.466666666666667
256,4.87
257,8.0
258,5.0
259,11.2
260,22.0
261,18.0
262,23.95
263,17.45
264,4.5
265,11.5
266,7.0
267,4.5
268,3.0
269,3.6
270,4.42
271,5.45
272,3.7
273,3.08
274,4.0
275,37.5
276,13.5
277,32.5
278,17.0
279,1.75
280,3.0
281,39.0
282,7.5
283,8.75
284,2.88
285,4.9
286,14.51
287,8.45
288,5.61
289,6.46
290,14.9
291,10.79
292,5.92
293,12.5
294,5.56
295,6.45
296,5.0
297,7.5
298,6.0
299,7.75
300,4.75
301,7.01
302,5.92
303,8.5
304,5.15
305,12.0
306,8.74
307,5.8
308,5.1
309,11.75
310,4.96
311,54.75
312,6.45
313,3.4
314,5.38
315,3.71
316,1.8
317,4.75
318,3.85
319,2.33
320,7.3
321,4.5
322,5.93
323,8.99
324,9.2
325,1.95
326,1.0
327,6.91
328,4.73
329,26.0
330,10.84
331,3.98
332,2.75
333,9.3
334,13.28
335,11.0
336,5.75
337,16.4
338,3.42
339,5.96
340,6.99
341,29.0
342,3.75
343,4.5
344,13.9
345,6.6
346,12.5
347,4.18
348,24.9
349,4.14
350,4.45
351,4.5
352,2.27
353,7.89
354,3.15
355,5.89
356,6.16
357,15.0
358,5.35
359,8.64
360,3.18
361,15.5
362,4.25
363,3.95
364,1.45
365,5.59
366,3.1
367,21.0
368,5.5
369,5.65
370,26.9
371,7.46
372,5.7
373,2.0
374,4.07
375,1.59
376,6.5
377,4.2
378,3.95
379,26.5
380,5.3
381,18.75
382,8.37
383,11.0
384,4.5
385,4.85
386,6.58
387,4.0
388,4.7
389,6.25
390,1.8
391,6.75
392,2.85
393,6.08
394,4.25
395,4.35
396,180.0
397,3.85
398,5.94
399,5.12
400,9.0
401,5.5
402,29.0
403,9.64
404,47.5
405,7.8
406,27.0
407,6.64
408,3.5
409,1.8
410,7.0
411,4.94
412,15.75
413,12.25
414,8.3
415,3.5
416,3.62
417,2.34
418,8.21
419,12.92
420,3.35
421,3.5
422,2.75
423,5.81
424,1.5
425,3.49
426,4.25
427,3.99
428,6.5
429,0.85
430,10.9
431,5.8
432,2.51
433,2.37
434,2.35
435,3.1
436,5.0
437,3.19
438,19.19
439,3.36
440,3.49
441,6.95
442,3.5
443,1.5
444,4.5
445,4.1
446,9.32
447,3.5
448,7.66
449,4.71
450,5.0
451,4.4
452,3.95
453,3.45
454,18.45
455,4.5
456,32.0
457,6.25
458,3.5
459,2.5
460,3.77
461,7.0
462,4.15
463,9.8
464,5.5
465,2.76
466,9.63
467,3.6
468,4.5
469,5.5
470,32.0
471,4.77
472,5.02
473,4.87
474,0.64
475,15.75
476,7.5
477,38.9
478,21.0
479,1.86
480,7.5
481,3.1
482,3.3
483,12.99
484,7.12
485,14.0
486,2.95
487,5.35
488,4.55
489,4.73
490,2.5
491,2.25
492,4.54
493,11.25
494,29.95
495,8.25
496,76.0
497,4.11
498,6.5
499,4.26
500,7.25
501,10.95
502,14.0
503,5.46
