ID,prediction
0,5.550000000000001
1,6.5
2,1.2
3,1.56
4,7.38
5,29.25
6,5.98
7,1.75
8,4.0
9,6.66
10,8.0
11,5.88
12,7.5
13,2.8
14,16.0
15,8.9
16,8.25
17,4.46
18,0.8
19,3.4
20,4.39
21,8.0
22,3.0
23,3.0
24,7.72
25,6.6
26,3.35
27,13.75
28,39.95
29,2.59
30,21.0
31,4.11
32,2.755
33,3.03
34,2.5
35,4.5
36,4.33
37,2.64
38,4.67
39,21.0
40,1.6
41,5.66
42,20.27
43,3.475
44,7.35
45,7.425000000000001
46,53.9
47,4.49
48,26.95
49,4.4
50,10.5
51,5.699999999999999
52,6.0
53,1.25
54,4.904000000000001
55,2.5
56,3.59
57,7.5
58,8.1
59,11.74
60,4.7
61,3.4
62,5.9
63,10.57
64,10.9
65,6.196666666666666
66,19.9
67,1.5
68,17.5
69,9.5
70,4.14
71,6.061999999999999
72,4.98
73,5.47
74,29.0
75,17.5
76,7.9
77,0.8
78,3.6
79,4.27
80,8.51
81,25.5
82,10.25
83,105.0
84,12.9
85,13.75
86,7.49
87,9.35
88,6.5
89,21.5
90,3.5
91,20.0
92,19.0
93,4.2975
94,6.0
95,1.59
96,4.0
97,2.7
98,6.79
99,14.9
100,7.605
101,2.96
102,3.52
103,6.35
104,9.9
105,15.5
106,3.2099999999999995
107,1.7933333333333337
108,3.7
109,5.65
110,4.48
111,5.12
112,17.45
113,5.274444444444445
114,4.75
115,8.26
116,1.98
117,0.65
118,5.390000000000001
119,5.25
120,17.45
121,38.9
122,8.52
123,10.15
124,2.6
125,5.5
126,2.53
127,6.0
128,7.0
129,2.495
130,5.77
131,7.13
132,10.0
133,8.11
134,7.5
135,5.5
136,4.85
137,4.5
138,3.75
139,10.0
140,1.29
141,2.6
142,6.0
143,64.5
144,4.9
145,4.920000000000001
146,4.15
147,5.65
148,47.9
149,6.16
150,7.89
151,6.05
152,2.21
153,12.0
154,6.615
155,15.9
156,2.83
157,2.97
158,10.5
159,14.0
160,2.0
161,2.0
162,57.75
163,3.99
164,14.95
165,2.85
166,15.0
167,6.8
168,13.99
169,7.09
170,5.0
171,4.7
172,7.75
173,2.1
174,18.5
175,11.6
176,6.426666666666667
177,18.0
178,1.3
179,2.325
180,11.4
181,10.18
182,3.25
183,8.65
184,8.23
185,4.59
186,4.395
187,6.2
188,10.2
189,9.36
190,6.804285714285713
191,3.21
192,6.0
193,6.5
194,7.9
195,7.51
196,4.8149999999999995
197,10.55
198,1.6
199,1.4
200,8.2
201,14.45
202,4.945
203,6.65
204,7.15
205,3.17
206,8.25
207,19.9
208,4.3
209,3.2249999999999996
210,2.5
211,3.36
212,2.7175000000000002
213,9.9
214,3.2
